"type_id","name","daily_upd","daily_creat","update_pct"
41195,"Unit W-634's Modified Sensor Booster","   16.88","    0.00"," 100.00"
16603,"Vizan's Modified Cap Recharger","   16.88","    0.00"," 100.00"
88265,"Strategos' Modified Heat Sink","   16.88","    0.00"," 100.00"
56283,"Gravid Capital Armor Repairer Mutaplasmid","   22.88","    0.25","  98.92"
33305,"Capital Processor Overclocking Unit II","   17.63","    0.25","  98.60"
88653,"Exo-Spinal - Unlimited","   17.25","    0.25","  98.57"
83374,"Argon Heat Gloss - Unlimited","   22.50","    0.38","  98.36"
31584,"Capital Hybrid Metastasis Adjuster II","   22.00","    0.38","  98.32"
26324,"Large Drone Control Range Augmentor II","   18.38","    0.38","  98.00"
26360,"Large Particle Dispersion Projector II","   35.50","    0.75","  97.93"
31500,"Capital Energy Metastasis Adjuster II","   33.25","    0.75","  97.79"
37174,"Standup L-Set Advanced Component Manufacturing Efficiency I","   19.25","    0.50","  97.47"
32095,"Medium Stasis Drone Augmentor II","   29.75","    0.88","  97.14"
31714,"Capital Projectile Metastasis Adjuster II","   27.50","    0.88","  96.92"
25978,"Large Energy Burst Aerator I","   34.75","    1.25","  96.53"
31137,"Medium Dynamic Fuel Valve II","   24.25","    0.88","  96.52"
37256,"Standup L-Set Bomb Aimer I","   20.75","    0.75","  96.51"
48383,"Men's Triglavian Survival Suit (Veles)","   17.00","    0.63","  96.45"
90721,"Sky Blue Supremacy Metallic - Limited","   16.38","    0.63","  96.32"
31826,"Capital Core Defense Operational Solidifier II","   57.88","    2.25","  96.26"
31416,"Capital Semiconductor Memory Cell II","   28.63","    1.13","  96.22"
26358,"Large Ionic Field Projector II","   21.75","    0.88","  96.13"
31328,"Small Targeting System Subcontroller II","   30.00","    1.25","  96.00"
90638,"Rich Vein - Unlimited","   20.00","    0.88","  95.81"
37307,"Quad 3500mm Siege Artillery II","   36.75","    1.63","  95.77"
37260,"Standup L-Set Target Acquisition Array I","   19.38","    0.88","  95.68"
14792,"Vizan's Modified Large EMP Smartbomb","   16.50","    0.75","  95.65"
88129,"Mid-grade Wedge Epsilon","   16.25","    0.75","  95.59"
41439,"'Iron Pike' Kinetic Lance","   18.75","    0.88","  95.54"
47330,"Standup XL Energy Neutralizer II","   15.50","    0.75","  95.38"
25561,"Signal Distortion Amplifier I","   24.50","    1.25","  95.15"
29085,"Capital Photon Microprocessor","   17.00","    0.88","  95.10"
26402,"Large Hybrid Locus Coordinator II","   21.38","    1.13","  95.00"
83377,"Zento Legacy Gloss - Unlimited","   15.88","    0.88","  94.78"
28803,"Mid-grade Harvest Beta","   20.38","    1.13","  94.77"
41464,"Capital Coaxial Compact Remote Armor Repairer","   20.00","    1.13","  94.67"
23811,"'Plough' Heavy Capacitor Booster I","   24.25","    1.38","  94.63"
89695,"Cinderchrome Metallic - Limited","   27.50","    1.63","  94.42"
26444,"Large Core Defense Capacitor Safeguard II","   25.13","    1.50","  94.37"
88619,"Electrum Flare Metallic - Unlimited","   16.75","    1.00","  94.37"
26418,"Large Rocket Fuel Cache Partition II","   30.75","    1.88","  94.25"
88580,"Luminated Copper Metallic - Unlimited","   18.38","    1.13","  94.23"
37250,"Standup L-Set Energy Neutralizer Feedback Control I","   20.25","    1.25","  94.19"
26086,"Large Core Defense Operational Solidifier I","   38.13","    2.38","  94.14"
28802,"Mid-grade Harvest Alpha","   15.88","    1.00","  94.07"
31712,"Medium Projectile Metastasis Adjuster II","   25.75","    1.63","  94.06"
25954,"Large Semiconductor Memory Cell I","   17.63","    1.13","  94.00"
37254,"Standup L-Set EW Command System I","   21.50","    1.38","  93.99"
92592,"Intaki Obsidian Metallic - Unlimited","   44.75","    2.88","  93.96"
31654,"Capital Warhead Rigor Catalyst II","   21.00","    1.38","  93.85"
18702,"Centii C-Type Multispectrum Coating","   17.13","    1.13","  93.84"
90653,"Convergent Reflection - Unlimited","   19.00","    1.25","  93.83"
26394,"Large Hybrid Burst Aerator II","   27.25","    1.88","  93.56"
90598,"Amber Flow Gloss - Unlimited","   18.13","    1.25","  93.55"
26376,"Large Semiconductor Memory Cell II","   21.50","    1.50","  93.48"
46323,"Standup M-Set Moon Drilling Efficiency I","   15.88","    1.13","  93.38"
18827,"Corelum A-Type Thermal Energized Membrane","   40.13","    2.88","  93.31"
15717,"Republic Fleet Explosive Armor Hardener","   31.38","    2.25","  93.31"
54307,"Men's 'Fatal Elite' Combat Jacket","   15.50","    1.13","  93.23"
41483,"Capital Ancillary Remote Shield Booster","   15.50","    1.13","  93.23"
53900,"Mid-grade Savior Epsilon","   22.00","    1.63","  93.12"
24552,"'Oblivion' Kinetic Doomsday","   18.50","    1.38","  93.08"
18917,"Corpus A-Type Thermal Armor Hardener","   21.38","    1.63","  92.93"
20452,"Hexa 2500mm Repeating Cannon I","   29.38","    2.25","  92.89"
53289,"Capital Zero-Point Field Manipulator","   22.63","    1.75","  92.82"
90594,"Plumbed Depths Metallic - Unlimited","   37.13","    2.88","  92.81"
26416,"Large Hydraulic Bay Thrusters II","   43.50","    3.50","  92.55"
31674,"Small Projectile Burst Aerator II","   27.88","    2.25","  92.53"
26452,"Large Core Defense Operational Solidifier II","   15.13","    1.25","  92.37"
31410,"Capital Semiconductor Memory Cell I","   43.13","    3.63","  92.25"
26430,"Large Projectile Burst Aerator II","   17.75","    1.50","  92.21"
85547,"Glorified Unstable Large Shield Extender Mutaplasmid","   16.25","    1.38","  92.20"
40750,"Heavy Warp Scrambler I","   16.00","    1.38","  92.09"
18951,"Core C-Type Explosive Armor Hardener","   44.75","    3.88","  92.03"
85516,"Glorified Unstable Large Cap Battery Mutaplasmid","   18.75","    1.63","  92.02"
30002,"Fullerene Intercalated Sheets","   15.50","    1.38","  91.85"
27064,"Capital Auxiliary Nano Pump I","   41.88","    3.75","  91.78"
3550,"CONCORD Dual 1000mm Railgun","   48.50","    4.38","  91.73"
31502,"Small Algid Hybrid Administrations Unit I","   15.13","    1.38","  91.67"
31534,"Medium Hybrid Burst Aerator II","   62.00","    5.75","  91.51"
26312,"Large Polycarbon Engine Housing II","   24.13","    2.25","  91.47"
41236,"10000MN Afterburner I","   17.38","    1.63","  91.45"
82309,"Compressed Ueganite II-Grade","   18.63","    1.75","  91.41"
26412,"Large Warhead Flare Catalyst II","   62.13","    5.88","  91.36"
19299,"Gist B-Type Shield Boost Amplifier","   38.00","    3.63","  91.29"
31362,"Capital Ancillary Current Router I","   28.63","    2.75","  91.24"
31304,"Small Particle Dispersion Projector II","   36.88","    3.63","  91.05"
26108,"Large Particle Dispersion Projector I","   27.88","    2.75","  91.02"
26296,"Large Nanobot Accelerator II","   38.00","    3.75","  91.02"
85457,"Glorified Unstable Large Armor Repairer Mutaplasmid","   20.25","    2.00","  91.01"
18991,"Corelum A-Type Medium Remote Armor Repairer","   34.00","    3.38","  90.97"
90651,"Crumbling Construct - Unlimited","   19.63","    2.00","  90.75"
40552,"Equite II","   25.63","    2.63","  90.71"
40758,"Heavy Warp Scrambler II","   46.00","    4.75","  90.64"
28805,"Mid-grade Harvest Epsilon","   16.88","    1.75","  90.60"
33898,"Large Transverse Bulkhead I","   27.63","    2.88","  90.57"
40358,"Equite I","   25.13","    2.63","  90.54"
31342,"Medium Targeting Systems Stabilizer II","   20.13","    2.13","  90.45"
32047,"Medium Drone Mining Augmentor II","   25.88","    2.75","  90.39"
11690,"Superconductor Rails","   67.50","    7.25","  90.30"
18893,"Corpus C-Type Kinetic Armor Hardener","   16.25","    1.75","  90.28"
31292,"Small Particle Dispersion Augmentor II","   20.75","    2.25","  90.22"
31688,"Medium Projectile Collision Accelerator II","   26.50","    2.88","  90.21"
31664,"Medium Projectile Ambit Extension II","   16.00","    1.75","  90.14"
37586,"Erebus Valimor Legacy SKIN","   16.00","    1.75","  90.14"
60284,"Simple Asteroid Mining Crystal Type C II","   14.75","    1.63","  90.08"
28583,"Capital Industrial Core I","   16.88","    1.88","  90.00"
82476,"Abyssal Corruption - Unlimited","   26.75","    3.00","  89.92"
32063,"Medium Drone Speed Augmentor II","   29.75","    3.38","  89.81"
40561,"Malleus II","   20.75","    2.38","  89.73"
28739,"Thukker Power Diagnostic System","   16.38","    1.88","  89.73"
82305,"Compressed Nocxite II-Grade","   17.38","    2.00","  89.68"
24636,"Zainou 'Deadeye' Missile Bombardment MB-705","   21.63","    2.50","  89.64"
3257,"Inherent Implants 'Squire' Power Grid Management EG-604","   20.50","    2.38","  89.62"
18889,"Corpus C-Type Explosive Armor Hardener","   22.38","    2.63","  89.50"
92039,"Inshore EC-300-I","  173.38","   20.38","  89.48"
88777,"Gravastar Black Metallic - Unlimited","   25.38","    3.00","  89.43"
47353,"Standup Cap Battery II","   14.75","    1.75","  89.39"
85469,"Glorified Unstable 5MN Microwarpdrive Mutaplasmid","   14.75","    1.75","  89.39"
26328,"Large Drone Mining Augmentor II","   23.13","    2.75","  89.37"
15707,"Imperial Navy Kinetic Armor Hardener","   38.88","    4.63","  89.37"
85932,"Nidhoggur Arkombine Arisen SKIN","   21.00","    2.50","  89.36"
31222,"Medium Gravity Capacitor Upgrade II","   18.88","    2.25","  89.35"
85931,"Chimera Arkombine Arisen SKIN","   16.75","    2.00","  89.33"
37628,"Corpus C-Type Heavy Energy Neutralizer","   23.00","    2.75","  89.32"
26294,"Large Auxiliary Nano Pump II","   25.00","    3.00","  89.29"
60476,"Radical Drone Damage Amplifier Mutaplasmid","   65.88","    8.00","  89.17"
40734,"Heavy Warp Disruptor II","   24.38","    3.00","  89.04"
16126,"CONCORD Modified Cloaking Device","   15.13","    1.88","  88.97"
23789,"'Bastion' 400mm Steel Plates","   21.13","    2.63","  88.95"
17674,"Phased Plasma XL","   26.00","    3.25","  88.89"
31163,"Capital Hyperspatial Velocity Optimizer I","   76.63","    9.63","  88.84"
92644,"Men's Select Freedom Combat Suit","   14.75","    1.88","  88.72"
31306,"Medium Particle Dispersion Projector II","   14.75","    1.88","  88.72"
20561,"Prototype 'Poncho' Cloaking Device I","   20.63","    2.63","  88.71"
32342,"Tyrfing I","   19.63","    2.50","  88.70"
20444,"Dual Giga Pulse Laser I","   17.63","    2.25","  88.68"
19262,"Pith C-Type Thermal Shield Hardener","   42.75","    5.50","  88.60"
31730,"Medium Explosive Shield Reinforcer I","   21.38","    2.75","  88.60"
87325,"Navy Scan Acquisition Array","   18.38","    2.38","  88.55"
12223,"Capital Remote Capacitor Transmitter II","   25.13","    3.25","  88.55"
25275,"Celadon Cytoserocin","   17.38","    2.25","  88.54"
20637,"'Posse' Multispectrum Shield Hardener","   67.00","    8.75","  88.45"
85545,"Glorified Unstable Large Shield Booster Mutaplasmid","   19.13","    2.50","  88.44"
33955,"Low-grade Amulet Delta","   16.25","    2.13","  88.44"
41498,"Capital I-a Enduring Armor Repairer","   42.00","    5.50","  88.42"
21021,"Capital Power Generator","   20.00","    2.63","  88.40"
42201,"Low-grade Asklepian Epsilon","   39.00","    5.13","  88.39"
2108,"Tracking Disruptor I","   19.00","    2.50","  88.37"
31009,"Small Explosive Armor Reinforcer I","   17.00","    2.25","  88.31"
22889,"'Meditation' Medium Armor Repairer I","   36.63","    4.88","  88.25"
27121,"Inherent Implants 'Squire' Capacitor Emission Systems ES-705","   15.00","    2.00","  88.24"
18662,"Gist C-Type 100MN Afterburner","   21.38","    2.88","  88.14"
40566,"Termite II","   33.13","    4.50","  88.04"
1968,"Remote Sensor Dampener I","   18.38","    2.50","  88.02"
31484,"Small Energy Locus Coordinator II","  162.25","   22.13","  88.00"
20703,"Capital Shield Booster I","   17.38","    2.38","  87.97"
31594,"Medium Bay Loading Accelerator II","   33.88","    4.75","  87.70"
26396,"Large Hybrid Collision Accelerator II","   20.50","    2.88","  87.70"
33591,"Mobile Micro Jump Unit","   14.25","    2.00","  87.69"
31374,"Capital Capacitor Control Circuit I","   44.50","    6.25","  87.68"
47776,"Gravid Large Armor Repairer Mutaplasmid","   49.50","    7.00","  87.61"
3575,"CONCORD Capital Remote Capacitor Transmitter","   29.88","    4.25","  87.55"
31628,"Medium Warhead Calefaction Catalyst II","   41.25","    5.88","  87.53"
47139,"Standup Firbolg I","   15.75","    2.25","  87.50"
18929,"Corpus A-Type EM Armor Hardener","   19.13","    2.75","  87.43"
62544,"Compressed Hemorphite","   17.38","    2.50","  87.42"
31113,"Medium Auxiliary Thrusters II","   96.25","   13.88","  87.40"
41238,"10000MN Monopropellant Enduring Afterburner","   37.88","    5.50","  87.32"
34412,"Small Intact Hull Section","   37.75","    5.50","  87.28"
85478,"Glorified Unstable 100MN Afterburner Mutaplasmid","   17.13","    2.50","  87.26"
19249,"Gistum A-Type Explosive Shield Amplifier","   25.63","    3.75","  87.23"
1565,"Small EMP Smartbomb II","   23.00","    3.38","  87.20"
40660,"Capital Gremlin Compact Energy Neutralizer","   26.25","    3.88","  87.14"
28846,"Nomad","   21.13","    3.13","  87.11"
18911,"Centus B-Type Kinetic Armor Hardener","   16.88","    2.50","  87.10"
23894,"'Page' Capacitor Flux Coil I","   19.38","    2.88","  87.08"
52236,"Zorya's Light Entropic Disintegrator","   43.63","    6.50","  87.03"
53857,"Low-grade Nirvana Epsilon","   22.50","    3.38","  86.96"
31448,"Small Energy Burst Aerator II","   56.63","    8.50","  86.95"
85396,"Drone Mutaplasmid Residue","   44.13","    6.63","  86.95"
28746,"Thukker Medium Shield Extender","   44.75","    6.75","  86.89"
57482,"Genetic Safeguard Filter","   43.00","    6.50","  86.87"
16233,"Prophecy","   28.88","    4.38","  86.84"
20567,"'Dyad' Co-Processor I","   51.88","    7.88","  86.82"
18919,"Centus A-Type Thermal Armor Hardener","   24.50","    3.75","  86.73"
3143,"Zainou 'Deadeye' Target Navigation Prediction TN-906","   31.75","    4.88","  86.69"
37630,"Corpus A-Type Heavy Energy Neutralizer","   17.00","    2.63","  86.62"
17491,"Republic Fleet Light Missile Launcher","   21.00","    3.25","  86.60"
14222,"Domination Medium Proton Smartbomb","   29.88","    4.63","  86.59"
31079,"Medium Remote Repair Augmentor II","   17.75","    2.75","  86.59"
31051,"Small Auxiliary Nano Pump II","   41.88","    6.50","  86.56"
31169,"Capital Hyperspatial Velocity Optimizer II","   23.13","    3.63","  86.45"
62586,"Compressed Mercoxit","   19.00","    3.00","  86.36"
41330,"Scorch XL","   31.63","    5.00","  86.35"
52244,"Veles Entropic Radiation Sink","   64.00","   10.13","  86.34"
4401,"Large Processor Overclocking Unit II","   26.00","    4.13","  86.31"
17520,"Federation Navy Sensor Booster","   34.50","    5.50","  86.25"
26442,"Large Thermal Shield Reinforcer II","   72.88","   11.63","  86.24"
37452,"ORE Ice Mining Laser","   34.38","    5.50","  86.21"
40359,"Locust I","   16.38","    2.63","  86.18"
37303,"Dual 1000mm Railgun II","   35.75","    5.75","  86.14"
23896,"'Motte' Capacitor Power Relay I","   15.50","    2.50","  86.11"
18895,"Centus C-Type Kinetic Armor Hardener","   20.88","    3.38","  86.08"
23785,"'Bailey' 1600mm Steel Plates","   21.63","    3.50","  86.07"
57740,"Porpoise GalNet StreamCast Unit SKIN","   17.75","    2.88","  86.06"
84348,"Avalanche Deathglow Remnant SKIN","   16.13","    2.63","  86.00"
20747,"Arch Angel Phased Plasma XL","   22.25","    3.63","  85.99"
47916,"Heavy Compact Entropic Disintegrator","   17.50","    2.88","  85.89"
18899,"Centus C-Type Thermal Armor Hardener","   32.63","    5.38","  85.86"
57476,"Magnetometric-FTL Interlink Communicator","   24.88","    4.13","  85.78"
91132,"Frozen Obelisk - Unlimited","   18.00","    3.00","  85.71"
41197,"Syndicate Signal Amplifier","   16.50","    2.75","  85.71"
31820,"Capital Core Defense Operational Solidifier I","   20.13","    3.38","  85.64"
17836,"Federation Navy Kinetic Armor Hardener","   27.50","    4.63","  85.60"
31071,"Medium Nanobot Accelerator II","   34.88","    5.88","  85.58"
3581,"Purloined Sansha Data Analyzer","   23.00","    3.88","  85.58"
40356,"Capital F-S9 Regolith Compact Shield Extender","   32.50","    5.50","  85.53"
31546,"Medium Hybrid Collision Accelerator II","   24.38","    4.13","  85.53"
83320,"Uncompromising Scarlet Matte - Unlimited","   14.75","    2.50","  85.51"
4399,"Medium Processor Overclocking Unit II","   33.13","    5.63","  85.48"
15711,"Imperial Navy EM Armor Hardener","   19.13","    3.25","  85.47"
12761,"Quake L","   52.50","    9.00","  85.37"
31282,"Medium Ionic Field Projector II","   43.63","    7.50","  85.33"
91987,"Blazing Teal Metallic - Limited","   15.25","    2.63","  85.31"
21246,"Blood Standard XL","   14.50","    2.50","  85.29"
14166,"True Sansha Medium Energy Neutralizer","   51.88","    9.00","  85.22"
3137,"Zainou 'Deadeye' Rapid Launch RL-1004","   17.88","    3.13","  85.12"
41463,"Capital I-ax Enduring Remote Armor Repairer","   21.38","    3.75","  85.07"
47035,"Standup Templar I","   21.38","    3.75","  85.07"
17210,"Sansha Copper Tag","   26.25","    4.63","  85.02"
23416,"'Peace' Large Remote Armor Repairer","   14.88","    2.63","  85.00"
18931,"Centus A-Type EM Armor Hardener","   14.88","    2.63","  85.00"
3285,"Quad Light Beam Laser II","   14.88","    2.63","  85.00"
3618,"Capital Remote Shield Booster II","   14.88","    2.63","  85.00"
28654,"Warp Disruption Field Generator I","   22.63","    4.00","  84.98"
16246,"Zainou 'Gnome' Shield Management SM-705","   50.75","    9.00","  84.94"
